top 10 cumulative:
Fri Feb 10 20:10:46 2012    unsigned_interface_0.profile
        1    0.000    0.000    0.000    0.000 threading.py:802(_DummyThread)
     2571    0.064    0.000    0.078    0.000 threading.py:826(currentThread)
        2    0.000    0.000    0.008    0.004 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
     5140    0.114    0.000    0.114    0.000 {_struct.pack}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
     2571    0.849    0.000    0.849    0.000 {cPickle.dumps}
      256    0.002    0.000    0.002    0.000 {chr}
        1    0.001    0.001    0.001    0.001 {dir}
        1    0.000    0.000    0.000    0.000 {function seed at 0x403b3130}
     2607    0.039    0.000    0.039    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
     7717    0.109    0.000    0.109    0.000 {hasattr}
     7727    0.112    0.000    0.112    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 {issubclass}
7786/5218    0.115    0.000    0.254    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
     2576    0.050    0.000    0.050    0.000 {method 'acquire' of 'thread.lock' objects}
     5231    0.024    0.000    0.024    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.001    0.001    0.001    0.001 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    17990    0.127    0.000    0.127    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     2569    0.039    0.000    0.039    0.000 {method 'lstrip' of 'str' objects}
     2575    0.088    0.000    0.088    0.000 {method 'release' of 'thread.lock' objects}
     7714    0.117    0.000    0.117    0.000 {method 'rfind' of 'str' objects}
     2571    0.547    0.000    0.547    0.000 {method 'sendall' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {open}
       21    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.close}
     2571    0.017    0.000    0.017    0.000 {posix.getpid}
        1    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 {posix.read}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.KeyLocator_to_ccn}
        1    0.002    0.002    0.002    0.002 {pyccn._pyccn.PEM_read_key}
     2569    0.248    0.000    0.248    0.000 {pyccn._pyccn.SignedInfo_to_ccn}
        1    0.001    0.001    0.001    0.001 {pyccn._pyccn.connect}
     5138    0.033    0.000    0.033    0.000 {pyccn._pyccn.content_to_bytes}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.create}
     2569   60.494    0.024   60.550    0.024 {pyccn._pyccn.encode_ContentObject}
     5139    0.067    0.000    0.067    0.000 {pyccn._pyccn.is_upcall_executing}
     2571    0.174    0.000    0.174    0.000 {pyccn._pyccn.name_comps_from_ccn}
        3    0.000    0.000    0.000    0.000 {pyccn._pyccn.name_from_uri}
     2569    0.253    0.000    0.253    0.000 {pyccn._pyccn.name_to_uri}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.nc_app_id}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.nc_app_key}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.nc_new_state}
     2568    4.127    0.002    4.214    0.002 {pyccn._pyccn.put}
        1    9.433    9.433  106.288  106.288 {pyccn._pyccn.run}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_interest_filter}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_run_timeout}
        1    0.000    0.000    0.000    0.000 {range}
       26    0.000    0.000    0.000    0.000 {setattr}
     2571    0.047    0.000    0.047    0.000 {sys._getframe}
        5    0.000    0.000    0.000    0.000 {thread.allocate_lock}
    10292    0.075    0.000    0.075    0.000 {thread.get_ident}
    12848    0.105    0.000    0.105    0.000 {time.time}


overall by name:
Fri Feb 10 20:10:46 2012    unsigned_interface_0.profile

         743504 function calls (604785 primitive calls) in 106.671 seconds

   Ordered by: function name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
     5140    0.114    0.000    0.114    0.000 {_struct.pack}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
     2571    0.849    0.000    0.849    0.000 {cPickle.dumps}
      256    0.002    0.000    0.002    0.000 {chr}
        1    0.001    0.001    0.001    0.001 {dir}
        1    0.000    0.000    0.000    0.000 {function seed at 0x403b3130}
     2607    0.039    0.000    0.039    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
     7717    0.109    0.000    0.109    0.000 {hasattr}
     7727    0.112    0.000    0.112    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 {issubclass}
     2571    0.053    0.000    0.100    0.000 __init__.py:81(<lambda>)
7786/5218    0.115    0.000    0.254    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
     2576    0.050    0.000    0.050    0.000 {method 'acquire' of 'thread.lock' objects}
     5231    0.024    0.000    0.024    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.001    0.001    0.001    0.001 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    17990    0.127    0.000    0.127    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     2569    0.039    0.000    0.039    0.000 {method 'lstrip' of 'str' objects}
     2575    0.088    0.000    0.088    0.000 {method 'release' of 'thread.lock' objects}
     7714    0.117    0.000    0.117    0.000 {method 'rfind' of 'str' objects}
     2571    0.547    0.000    0.547    0.000 {method 'sendall' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {min}
        1    0.007    0.007    0.009    0.009 heapq.py:31(<module>)
        1    0.001    0.001    0.001    0.001 _threading_local.py:134(<module>)
        1    0.000    0.000    0.000    0.000 NameCrypto.py:7(<module>)
        1    0.001    0.001    0.001    0.001 <string>:1(<module>)
        1    0.008    0.008    0.046    0.046 dummy_threading.py:8(<module>)
        1    0.001    0.001    0.001    0.001 cProfile.py:5(<module>)
        1    0.006    0.006    0.009    0.009 socket.py:45(<module>)
        1    0.012    0.012    0.026    0.026 Name.py:8(<module>)
        1    0.012    0.012    0.013    0.013 handlers.py:25(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.013    0.013    0.023    0.023 __init__.py:24(<module>)
        1    0.002    0.002    0.003    0.003 ContentObject.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.001    0.001    0.001    0.001 dummy_thread.py:13(<module>)
        1    0.044    0.044    0.065    0.065 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
