top 10 cumulative:
Fri Feb 10 20:10:45 2012    asymm_interface_0.profile
        5    0.000    0.000    0.000    0.000 dummy_thread.py:95(acquire)
        1    0.008    0.008    0.046    0.046 dummy_threading.py:8(<module>)
     5228    0.249    0.000    0.369    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 handlers.py:1059(BufferingHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:1110(MemoryHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:162(TimedRotatingFileHandler)
        1    0.012    0.012    0.013    0.013 handlers.py:25(<module>)
        1    0.000    0.000    0.000    0.000 handlers.py:365(WatchedFileHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:416(SocketHandler)
        1    0.000    0.000    0.001    0.001 handlers.py:429(__init__)
        2    0.001    0.000    0.009    0.004 handlers.py:450(makeSocket)
        2    0.000    0.000    0.009    0.004 handlers.py:461(createSocket)
     5228    0.378    0.000    2.050    0.000 handlers.py:489(send)
     5228    0.378    0.000    2.235    0.000 handlers.py:516(makePickle)
        1    0.000    0.000    0.000    0.000 handlers.py:53(BaseRotatingHandler)
     5228    0.257    0.000    4.542    0.001 handlers.py:545(emit)
        1    0.000    0.000    0.000    0.000 handlers.py:571(DatagramHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:609(SysLogHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:820(SMTPHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:85(RotatingFileHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:897(NTEventLogHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:997(HTTPHandler)
        1    0.003    0.003    0.003    0.003 hashlib.py:55(<module>)
        6    0.000    0.000    0.001    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.007    0.007    0.009    0.009 heapq.py:31(<module>)
        1    0.021    0.021  131.922  131.922 interface_asymm.py:1(<module>)
     2612    1.171    0.000   78.866    0.030 interface_asymm.py:104(makeDefaultContent)
     2611    3.395    0.001  119.100    0.046 interface_asymm.py:123(upcall)
     2611    0.789    0.000    5.310    0.002 interface_asymm.py:224(parseAndSendToLight)
        1    0.000    0.000    0.000    0.000 interface_asymm.py:25(controller)
        1    0.000    0.000    0.010    0.010 interface_asymm.py:27(__init__)
     2610    0.234    0.000    3.603    0.001 interface_asymm.py:290(sendData)
     2611    0.126    0.000    0.126    0.000 interface_asymm.py:294(getDMXFromName)
     2611    0.101    0.000    0.101    0.000 interface_asymm.py:304(getUDPFromName)
        1    0.000    0.000    0.002    0.002 interface_asymm.py:57(loadConfigFile)
        1    0.000    0.000    0.002    0.002 interface_asymm.py:63(initLog)
        1    0.000    0.000    0.002    0.002 interface_asymm.py:72(getApplicationKey)
        1    0.002    0.002  131.569  131.569 interface_asymm.py:83(start)
        1    0.001    0.001  131.565  131.565 interface_asymm.py:95(listen)
        1    0.000    0.000    0.000    0.000 interface_cfg.py:6(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.001    0.001    0.002    0.002 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:743(urandom)
     5228    0.158    0.000    0.254    0.000 posixpath.py:110(basename)
     5229    0.028    0.000    0.028    0.000 posixpath.py:43(normcase)
     5228    0.149    0.000    0.518    0.000 posixpath.py:95(splitext)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        1    0.008    0.008    0.014    0.014 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:653(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:803(SystemRandom)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        4    0.000    0.000    0.007    0.002 re.py:188(compile)
        4    0.001    0.000    0.007    0.002 re.py:228(_compile)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
