top 10 cumulative:
Thu Oct 27 15:33:46 2011    sequencer.profile
       27    0.000    0.000    0.001    0.000 database.py:74(getAllAnalyzed)
        2    0.000    0.000    0.000    0.000 database.py:79(add_son_manipulator)
        4    0.000    0.000    0.000    0.000 database.py:87(method_overwritten)
        1    0.000    0.000    0.000    0.000 dbref.py:15(<module>)
        1    0.000    0.000    0.000    0.000 dbref.py:21(DBRef)
        1    0.000    0.000    0.000    0.000 decoder.py:17(_floatconstants)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:274(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:304(__init__)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:118(__exit__)
        2    0.000    0.000    0.000    0.000 dummy_thread.py:121(release)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:13(<module>)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:21(error)
        2    0.000    0.000    0.000    0.000 dummy_thread.py:62(get_ident)
        3    0.000    0.000    0.000    0.000 dummy_thread.py:71(allocate_lock)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:81(LockType)
        3    0.000    0.000    0.000    0.000 dummy_thread.py:92(__init__)
        3    0.000    0.000    0.000    0.000 dummy_thread.py:95(acquire)
        1    0.001    0.001    0.001    0.001 dummy_threading.py:8(<module>)
       28    0.000    0.000    0.000    0.000 dyld.py:103(dyld_default_search)
        4    0.000    0.000    0.000    0.000 dyld.py:125(dyld_find)
        8    0.000    0.000    0.000    0.000 dyld.py:34(ensure_utf8)
       10    0.000    0.000    0.000    0.000 dyld.py:40(dyld_env)
        4    0.000    0.000    0.000    0.000 dyld.py:48(dyld_image_suffix)
        1    0.000    0.000    0.000    0.000 dyld.py:53(dyld_framework_path)
        4    0.000    0.000    0.000    0.000 dyld.py:56(dyld_library_path)
        1    0.000    0.000    0.000    0.000 dyld.py:59(dyld_fallback_framework_path)
        1    0.000    0.000    0.003    0.003 dyld.py:6(<module>)
        4    0.000    0.000    0.000    0.000 dyld.py:62(dyld_fallback_library_path)
        4    0.000    0.000    0.000    0.000 dyld.py:65(dyld_image_suffix_search)
        4    0.000    0.000    0.000    0.000 dyld.py:79(dyld_override_search)
