top 10 cumulative:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: cumulative time
   List reduced from 323 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        4    0.000    0.000    0.007    0.002 re.py:188(compile)
        4    0.000    0.000    0.007    0.002 re.py:228(_compile)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.001    0.001    0.001    0.001 socket.py:179(_socketobject)
        4    0.005    0.001    0.006    0.001 socket.py:185(__init__)
        2    0.000    0.000    0.001    0.000 socket.py:192(close)
     5234    0.221    0.000    7.654    0.001 socket.py:223(meth)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.006    0.006    0.009    0.009 socket.py:45(<module>)
        2    0.001    0.000    0.001    0.000 sre_compile.py:32(_compile)
        2    0.001    0.000    0.001    0.001 sre_compile.py:361(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        2    0.000    0.000    0.002    0.001 sre_compile.py:480(_code)
        2    0.000    0.000    0.006    0.003 sre_compile.py:495(compile)
       22    0.000    0.000    0.001    0.000 sre_parse.py:138(append)
        2    0.000    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       28    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
        2    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       26    0.001    0.000    0.001    0.000 sre_parse.py:201(get)
        2    0.000    0.000    0.003    0.002 sre_parse.py:301(_parse_sub)
        2    0.001    0.000    0.003    0.001 sre_parse.py:379(_parse)
        2    0.000    0.000    0.004    0.002 sre_parse.py:663(parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.048    0.048    0.066    0.066 ssl.py:56(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:94(SSLSocket)
        1    0.004    0.004    0.006    0.006 threading.py:1(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:101(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:104(_RLock)
        3    0.000    0.000    0.000    0.000 threading.py:106(__init__)
    10460    0.734    0.000    1.094    0.000 threading.py:121(acquire)
    10460    0.671    0.000    0.925    0.000 threading.py:141(release)
        2    0.000    0.000    0.001    0.000 threading.py:181(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:184(_Condition)
        2    0.000    0.000    0.000    0.000 threading.py:186(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:226(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:277(notify)
        1    0.000    0.000    0.000    0.000 threading.py:295(notifyAll)
        1    0.000    0.000    0.000    0.000 threading.py:304(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:352(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:364(Event)
        1    0.000    0.000    0.000    0.000 threading.py:367(_Event)
        1    0.000    0.000    0.000    0.000 threading.py:371(__init__)
